,state,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
1533,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Khajuraho Travels,VE A/C Sleeper (2+1),2024-07-17 22:00:00,04h 00m,2024-07-17 02:00:00,4.0,896,24
1534,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 22:00:00,04h 00m,2024-07-17 02:00:00,4.0,843,44
1535,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Laxmi holidays,VE A/C Seater / Sleeper (2+1),2024-07-17 22:00:00,05h 00m,2024-07-17 03:00:00,3.4,684,44
1536,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Raj Kalpana Travels Pvt.ltd.,A/C Sleeper (2+1),2024-07-17 22:00:00,03h 25m,2024-07-17 01:25:00,3.9,996,25
1537,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Raj Kalpana Travels Pvt.ltd.,A/C Seater/Sleeper (2+1),2024-07-17 22:00:00,03h 20m,2024-07-17 01:20:00,3.9,499,30
1538,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,IntrCity SmartBus,A/C Semi Sleeper / Sleeper (2+1),2024-07-17 22:10:00,04h 00m,2024-07-17 02:10:00,4.0,604,43
1539,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 22:15:00,04h 20m,2024-07-17 02:35:00,4.0,513,36
1540,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,SAFAR EXPRESS PVT LTD,A/C Seater / Sleeper (2+1),2024-07-17 22:15:00,02h 53m,2024-07-17 01:08:00,3.7,650,35
1541,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 22:20:00,03h 55m,2024-07-17 02:15:00,4.0,604,37
1542,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Gola Bus Service,VE A/C Seater / Sleeper (2+1),2024-07-17 22:30:00,03h 40m,2024-07-17 02:10:00,3.5,799,35
1543,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Mahalaxmi Travels,Volvo 9600 A/C Sleeper (2+1),2024-07-17 22:30:00,05h 00m,2024-07-17 03:30:00,3.8,899,40
1544,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),2024-07-17 22:30:00,03h 30m,2024-07-17 02:00:00,3.4,778,33
1545,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),2024-07-17 22:30:00,03h 55m,2024-07-17 02:25:00,4.0,581,37
1546,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Raj Kalpana Travels Pvt.ltd.,A/C Sleeper (2+1),2024-07-17 22:30:00,03h 30m,2024-07-17 02:00:00,3.9,699,23
1547,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Gola Bus Service,VE A/C Seater (2+2),2024-07-17 22:40:00,04h 30m,2024-07-17 03:10:00,3.5,1499,45
1548,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,International Tourist Centre,VE A/C Seater / Sleeper (2+1),2024-07-17 22:40:00,04h 05m,2024-07-17 02:45:00,4.2,1299,42
1549,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 22:45:00,03h 50m,2024-07-17 02:35:00,4.0,550,32
1550,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Raj Kalpana Travels Pvt.Ltd,A/C Sleeper (2+1),2024-07-17 22:45:00,03h 50m,2024-07-17 02:35:00,3.9,902,29
1551,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Ashok Bus Service,VE A/C Sleeper (2+1),2024-07-17 22:45:00,04h 30m,2024-07-17 03:15:00,3.6,499,38
1552,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Seater / Sleeper (2+1),2024-07-17 22:50:00,03h 05m,2024-07-17 01:55:00,4.4,699,36
1553,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Raj Kalpana Travels Pvt.ltd.,A/C Seater/Sleeper (2+1),2024-07-17 23:00:00,03h 35m,2024-07-17 02:35:00,3.9,509,34
1554,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Satlok express,A/C Seater / Sleeper (2+1),2024-07-17 23:00:00,04h 02m,2024-07-17 03:02:00,3.0,1427.62,43
1555,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Satlok express,A/C Seater / Sleeper (2+2),2024-07-17 23:00:00,04h 02m,2024-07-17 03:02:00,3.0,799,39
1556,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 23:00:00,03h 40m,2024-07-17 02:40:00,4.0,555,41
1557,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Raj Kalpana Travels Pvt.ltd.,A/C Sleeper (2+1),2024-07-17 23:05:00,03h 40m,2024-07-17 02:45:00,4.1,599,22
1558,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,SAFAR EXPRESS PVT LTD,A/C Seater / Sleeper (2+1),2024-07-17 23:05:00,03h 30m,2024-07-17 02:35:00,3.7,499,32
1559,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Hare Rama Travels,A/C Seater/Sleeper (2+1),2024-07-17 23:15:00,03h 45m,2024-07-17 03:00:00,4.0,1099,40
1560,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Raj Kalpana Travels Pvt.Ltd,VE A/C Seater (2+2),2024-07-17 23:15:00,03h 20m,2024-07-17 02:35:00,3.9,1500,37
1561,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,PTC-SKYBUS,VE A/C Seater / Sleeper (2+1),2024-07-17 23:15:00,03h 15m,2024-07-17 02:30:00,4.7,529,29
1562,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 23:20:00,04h 10m,2024-07-17 03:30:00,3.4,506,45
1563,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 23:20:00,04h 15m,2024-07-17 03:35:00,4.0,512,44
1564,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,IntrCity SmartBus,A/C Seater / Sleeper (2+1),2024-07-17 23:25:00,03h 10m,2024-07-17 02:35:00,4.0,508,42
1565,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,IntrCity SmartBus,A/C Seater / Sleeper (2+1),2024-07-17 23:30:00,03h 30m,2024-07-17 03:00:00,3.3,525,36
1566,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,IntrCity SmartBus,A/C Seater / Sleeper (2+1),2024-07-17 23:30:00,03h 55m,2024-07-17 03:25:00,4.0,604,42
1567,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Raj Kalpana Travels Pvt.Ltd,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 23:30:00,03h 30m,2024-07-17 03:00:00,3.9,699,27
1568,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Raj Kalpana Travels Pvt.Ltd,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 23:30:00,03h 15m,2024-07-17 02:45:00,3.9,587,30
1569,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Miles India Private Limited,Scania A/C Semi Sleeper (2+2),2024-07-17 23:30:00,04h 30m,2024-07-17 04:00:00,3.8,599,31
1570,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,PTC-SKYBUS,VE A/C Seater / Sleeper (2+1),2024-07-17 23:45:00,03h 30m,2024-07-17 03:15:00,4.7,500,30
1571,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Ashok Bus Service,A/C Seater / Sleeper (2+1),2024-07-17 23:45:00,04h 45m,2024-07-17 04:30:00,3.6,499,37
1572,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),2024-07-17 23:45:00,03h 40m,2024-07-17 03:25:00,4.0,549,44
1573,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,IntrCity SmartBus,A/C Seater / Sleeper (2+1),2024-07-17 23:55:00,03h 15m,2024-07-17 03:10:00,4.0,508,41
1574,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),A/C Seater/Sleeper (2+1),2024-07-17 00:40:00,02h 50m,2024-07-17 03:30:00,2.9,999,14
1575,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,NAYAR TRAVELS (OPC) PVT LTD,A/C Sleeper (2+1),2024-07-17 01:00:00,02h 00m,2024-07-17 03:00:00,2.0,1699,34
1576,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),2024-07-17 01:30:00,03h 00m,2024-07-17 04:30:00,2.2,554,24
1577,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Falcon Tour And Travels,Volvo AC Seater Pushback 2+2,2024-07-17 06:10:00,05h 05m,2024-07-17 11:15:00,2.5,800,35
1578,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Falcon Tour And Travels,Volvo AC Seater (2+2),2024-07-17 06:20:00,05h 15m,2024-07-17 11:35:00,2.8,999,45
1579,UPSRTC,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra,Baba Khatushyam Travels Pvt Ltd,A/C Seater / Sleeper (2+2),2024-07-17 14:45:00,07h 00m,2024-07-17 21:45:00,1.7,1025,59
