,ID,state,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
1958,1959,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sai RK Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 19:00:00,10h 30m,2024-07-17 05:30:00,3.6,560.00,15
1959,1960,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sai RK Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 20:25:00,08h 05m,2024-07-17 04:30:00,3.6,560.00,22
1960,1961,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,KTR Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 22:45:00,06h 30m,2024-07-17 05:15:00,3.6,699.00,11
1961,1962,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Krishna Travels,A/C Seater / Sleeper (2+1),2024-07-17 23:30:00,07h 30m,2024-07-17 07:00:00,3.6,800.00,13
1962,1963,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Padmavathi Travels,A/C Sleeper (2+1),2024-07-17 22:00:00,08h 00m,2024-07-17 06:00:00,3.7,650.00,28
1963,1964,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sree Sambhavi Tours and Travels,NON A/C Semi Sleeper (2+2),2024-07-17 20:25:00,08h 35m,2024-07-17 05:00:00,3.2,1500.00,41
1964,1965,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 23:15:00,06h 45m,2024-07-17 06:00:00,3.0,600.00,22
1965,1966,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 21:00:00,07h 00m,2024-07-17 04:00:00,3.0,780.00,17
1966,1967,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,IRA Travels,A/C Seater / Sleeper (2+1),2024-07-17 20:00:00,09h 10m,2024-07-17 05:10:00,3.5,500.00,14
1967,1968,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,KKaveri Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 23:00:00,07h 30m,2024-07-17 06:30:00,3.7,670.00,25
1968,1969,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,BEZAWADA TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),2024-07-17 21:50:00,06h 40m,2024-07-17 04:30:00,3.7,555.00,26
1969,1970,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,KKaveri Travels,Volvo Multi-Axle A/C Sleeper (2+1),2024-07-17 01:00:00,07h 15m,2024-07-17 08:15:00,3.7,1100.00,16
1970,1971,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sri Padmavathi Travels,NON A/C Sleeper (2+1),2024-07-17 22:00:00,08h 45m,2024-07-17 06:45:00,3.6,700.00,28
1971,1972,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sree Sambhavi Tours and Travels,Non A/C Seater / Sleeper (2+1),2024-07-17 20:25:00,08h 35m,2024-07-17 05:00:00,3.2,1000.00,41
1972,1973,APSRTC,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Sree Sambhavi Tours and Travels,NON A/C Semi Sleeper (2+2),2024-07-17 20:25:00,08h 35m,2024-07-17 05:00:00,3.2,1500.00,41
